id,name,theme,team,overall,tier,position,secondary_position,height,play1,play2,play3,play4,bronze_badges,silver_badges,gold_badges,hof_badges,shot_close,shot_mid,shot_3pt,shot_iq,free_throw,offensive_consistency,driving_layup,standing_dunk,driving_dunk,draw_foul,post_moves,post_hook,post_fade,hands,speed,acceleration,vertical,strength,stamina,hustle,overall_durability,speed_with_ball,ball_handle,passing_accuracy,passing_vision,passing_iq,interior_defense,perimeter_defense,help_defense_iq,pick_and_roll_defense_iq,lateral_quickness,pass_perception,reaction_time,steal,block,shot_contest,defensive_consistency,offensive_rebound,defensive_rebound,intangibles,potential,standing_dunk_t,driving_dunk_t,flashy_dunk_t,alley_oop_t,putback_dunk_t,crash_t,driving_layup_t,spin_layup_t,hop_step_layup_t,euro_step_layup_t,floater_t,step_through_shot_t,shot_under_basket_t,shot_close_t,shot_close_left_t,shot_close_middle_t,shot_close_right_t,shot_mid_t,spot_up_shot_mid_t,off_screen_shot_mid_t,shot_3pt_t,spot_up_shot_3pt_t,off_screen_shot_3pt_t,contested_jumper_mid_t,contested_jumper_3pt_t,stepback_jumper_mid_t,stepback_jumper_3pt_t,spin_jumper_t,transition_pull_up_3pt_t,drive_pull_up_3pt_t,drive_pull_up_mid_t,use_glass_t,triple_threat_pump_fake_t,triple_threat_jab_step_t,triple_threat_idle_t,triple_threat_shoot_t,setup_with_sizeup_t,setup_with_hesitation_t,no_setup_dribble_t,drive_t,spot_up_drive_t,off_screen_drive_t,drive_right_t,driving_crossover_t,driving_spin_t,driving_step_back_t,driving_half_spin_t,driving_double_crossover_t,driving_behind_the_back_t,driving_dribble_hesitation_t,driving_in_and_out_t,no_driving_dribble_move_t,attack_strong_on_drive_t,shoot_t,touches_t,roll_vs_pop_t,transition_spot_up_t,iso_vs_elite_defender_t,iso_vs_good_defender_t,iso_vs_average_defender_t,iso_vs_poor_defender_t,play_discipline_t,post_up_t,post_shimmy_shot_t,post_face_up_t,post_back_down_t,post_aggressive_backdown_t,shoot_from_post_t,post_hook_left_t,post_hook_right_t,post_fade_left_t,post_fade_right_t,post_up_and_under_t,post_hop_shot_t,post_step_back_shot_t,post_drive_t,post_spin_t,post_drop_step_t,post_hop_step_t,dish_to_open_man_t,flashy_pass_t,alley_oop_pass_t,pass_interception_t,take_charge_t,on_ball_steal_t,contest_shot_t,block_shot_t,foul_t,hard_foul_t,acrobat,backdown_punisher,consistent_finisher,contact_finisher,cross_key_scorer,deep_hooks,dropstepper,fancy_footwork,fastbreak_finisher,giant_slayer,lob_city_finisher,pick_and_roller,pro_touch,putback_boss,relentless_finisher,showtime,slithery_finisher,tear_dropper,catch_and_shoot,clutch_shooter,corner_specialist,deadeye,deep_fades,difficult_shots,flexible_release,green_machine,hot_start,hot_zone_hunter,ice_in_veins,pick_and_popper,pump_fake_maestro,quick_draw,range_extender,slippery_off_ball,steady_shooter,tireless_shooter,volume_shooter,ankle_breaker,bail_out,break_starter,dimer,downhill,dream_shake,flashy_passer,floor_general,handles_for_days,lob_city_passer,needle_threader,pass_fake_maestro,post_spin_technician,quick_first_step,space_creator,stop_and_go,tight_handles,unpluckable,box,brick_wall,chase_down_artist,clamps,defensive_leader,heart_crusher,interceptor,intimidator,lightning_reflexes,moving_truck,off_ball_pest,pick_dodger,pick_pocket,pogo_stick,post_move_lockdown,rebound_chaser,rim_protector,tireless_defender,trapper,worm,alpha_dog,enforcer,extremely_confident,expressive,high_work_ethic,legendary_work_ethic,pat_my_back,unpredictable
626,Kemba Walker,Promo,Charlotte Hornets,80,NBA 2K20  Emerald,PG,,73,P&R Point,3 PT,Handoff,Isolation,10,25,0,0,69,70,70,98,80,80,80,25,28,79,33,26,58,86,83,83,79,48,91,88,85,80,85,80,77,80,30,73,70,78,75,75,75,47,48,75,58,32,52,98,87,0,0,0,0,5,25,65,60,65,30,45,23,3,30,4,10,5,35,55,55,50,50,45,35,85,75,35,25,15,20,30,15,45,85,10,75,25,25,25,80,55,45,75,50,40,60,25,25,35,70,50,90,75,82,99,0,15,15,25,45,65,10,0,0,0,0,0,10,2,4,17,21,0,35,0,0,0,0,0,35,50,10,59,55,44,40,16,0,35,Silver,None,Silver,Bronze,None,None,None,Bronze,None,Silver,None,None,Bronze,None,None,None,Silver,Silver,Silver,Silver,None,Silver,None,Silver,None,Silver,Silver,Silver,None,None,Silver,None,None,None,Silver,Bronze,Silver,Silver,Silver,None,Bronze,Bronze,None,Silver,Bronze,Silver,Bronze,Bronze,Bronze,None,Silver,Silver,Silver,Silver,Silver,None,None,None,None,None,None,None,None,None,None,None,None,Silver,None,None,None,None,None,None,None,Yes,None,None,Yes,None,None,None,None
627,Dana Barros,Rewards,'95-'96 Seattle SuperSonics,85,NBA 2K20  Sapphire,SG,PG,71,Mid Range,3 PT,,,0,0,10,0,76,84,93,95,89,90,80,25,35,79,25,25,51,95,86,86,85,55,95,90,76,86,80,84,78,83,33,80,80,80,80,78,82,81,40,84,80,37,41,70,85,40,80,55,0,18,41,55,53,62,66,53,60,30,5,4,4,5,50,90,15,75,75,32,91,10,20,4,1,5,5,11,65,85,43,36,18,13,27,68,33,33,33,55,27,27,13,0,25,9,15,39,50,33,60,40,35,15,3,27,40,80,3,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,55,35,8,64,48,66,15,15,32,10,None,None,None,None,None,None,None,None,None,Gold,None,None,None,None,None,None,None,Gold,Gold,None,Gold,None,None,Gold,None,None,None,None,None,None,None,Gold,None,Gold,Gold,Gold,None,None,None,None,None,None,None,None,None,None,Gold,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
628,Cedric Ceballos,Rewards,Los Angeles Lakers,85,NBA 2K20  Sapphire,SF,,78,Cutter,Isolation,,,0,0,9,0,90,88,55,94,74,85,85,75,97,75,60,70,74,90,78,78,94,70,87,85,65,70,58,50,58,45,66,77,70,71,77,72,67,66,50,67,70,78,54,93,85,70,100,100,75,66,0,80,55,61,0,23,33,0,5,0,0,0,10,70,68,35,2,58,30,20,40,0,20,0,0,0,22,5,15,55,18,75,67,32,75,75,75,51,67,40,20,0,5,48,0,36,41,50,72,45,0,0,3,27,40,80,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,50,55,15,75,62,70,68,68,58,20,Gold,None,Gold,Gold,None,None,Gold,None,Gold,None,Gold,None,None,None,None,Gold,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Gold,None,None,None,None,None,None,None,None,None,None,Gold,None,None,None,None,None,None,None,None,None,None,None,None,None,None
629,Darryl Dawkins,Rewards,Philadelphia 76ers,89,NBA 2K20  Ruby,C,,83,Post Up Low,P&R Roll Man,,,0,1,8,2,94,75,25,95,78,95,64,97,90,90,84,84,75,80,69,65,95,95,85,95,66,35,45,34,33,30,84,44,84,74,44,68,65,57,85,65,85,87,92,95,89,90,100,100,85,70,5,95,70,65,66,63,67,68,61,6,2,0,43,11,67,0,0,0,43,0,4,0,77,0,0,0,45,55,0,75,0,10,8,83,30,30,30,60,0,0,0,0,0,0,0,0,75,80,46,88,99,0,3,30,45,90,99,65,15,25,33,65,50,50,50,50,0,22,10,10,50,65,65,38,20,15,0,16,28,11,67,67,84,50,None,Gold,None,Gold,None,None,Gold,None,HOF,None,HOF,Gold,None,Gold,None,Gold,None,None,Silver,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Gold,None,None,None,None,None,None,None,Gold,None,None,None,None,None,None,None,None,None,None,None,Yes,None,Yes,None,None,None,None
630,Walter Davis,Rewards,Phoenix Suns,90,NBA 2K20  Amethyst,SG,SF,78,P&R Ball Handler,Mid Range,Isolation,Guard Post Up,0,6,13,0,97,95,76,95,88,98,95,60,90,78,74,70,77,90,83,83,88,54,98,85,92,75,86,78,74,79,40,83,80,88,84,73,84,64,37,85,75,44,57,95,90,40,95,95,99,20,20,45,45,65,70,55,81,27,65,11,8,3,95,78,39,35,15,42,80,15,65,11,35,3,9,2,25,5,15,50,30,0,30,70,88,88,88,52,25,45,35,25,5,10,40,10,90,70,99,100,0,0,2,26,40,79,6,16,0,5,15,0,14,0,0,15,10,5,5,5,0,0,0,3,65,5,5,78,65,78,72,39,42,15,Silver,None,Silver,Gold,None,None,None,Silver,None,None,None,None,Gold,None,Silver,None,Silver,None,Gold,Gold,Gold,Gold,None,Silver,Gold,Gold,None,Gold,None,None,None,None,None,None,Gold,Gold,None,None,None,None,None,None,None,None,None,None,Gold,Gold,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,Yes
631,Jason Kidd,Rewards,Dallas Mavericks,91,NBA 2K20  Amethyst,PG,SG,76,P&R Ball Handler,Isolation,Mid Range,Guard Post Up,0,1,31,0,80,84,74,98,69,80,85,25,29,65,48,40,55,95,91,90,78,68,93,90,74,94,93,94,95,95,70,85,80,90,89,80,87,85,30,89,80,37,62,98,91,40,1,0,35,5,60,80,80,85,90,90,99,0,5,0,0,0,45,82,30,40,40,44,60,70,29,0,40,0,0,0,40,25,25,25,25,60,30,10,90,90,90,50,70,50,60,60,30,35,45,35,90,80,74,69,0,0,3,32,49,97,0,0,0,0,0,0,0,0,35,55,0,0,0,0,0,0,0,0,50,70,80,80,65,82,55,30,44,70,Gold,None,Gold,Gold,None,None,None,None,None,None,None,None,None,None,Gold,None,Gold,Gold,Gold,None,None,None,None,Gold,None,None,None,None,None,None,None,None,None,None,None,None,None,Gold,None,None,Gold,Gold,None,Gold,Gold,Gold,Gold,Gold,Gold,None,Gold,Gold,Gold,Gold,Gold,None,None,None,Gold,Gold,Gold,Gold,None,Gold,None,None,Gold,Gold,Silver,None,None,None,Gold,Gold,None,Yes,None,None,None,None,None,None,None
632,Isaiah Thomas,Rewards,Boston Celtics,91,NBA 2K20  Amethyst,PG,SG,69,P&R Point,Isolation,3 PT,,0,2,39,0,86,85,84,98,80,95,88,25,25,88,25,25,40,98,86,86,87,45,98,97,98,86,90,89,89,89,25,57,68,60,80,92,95,78,35,80,60,42,48,98,91,0,0,0,0,5,40,60,65,60,50,25,44,35,50,6,9,4,25,55,56,60,50,50,56,58,45,15,20,15,55,0,5,75,75,15,75,25,99,0,98,70,70,25,50,20,75,25,35,35,25,40,99,85,88,100,0,25,15,30,62,92,30,0,0,0,0,0,10,0,0,28,41,0,20,0,0,0,0,0,50,45,50,45,55,52,50,11,45,25,Gold,None,Gold,Gold,Gold,None,None,Gold,None,Gold,None,None,Gold,None,Gold,None,Gold,Gold,Gold,None,Gold,Gold,None,Gold,Gold,Gold,Gold,Gold,Gold,None,Gold,Gold,None,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,None,Gold,Gold,Silver,Gold,Gold,Gold,None,Gold,Gold,Silver,Gold,Gold,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,Yes,None,None,None,None
633,Eddie Jones,Rewards,Los Angeles Lakers,94,NBA 2K20  Diamond,SG,SF,78,Mid Range,3 PT,Isolation,,0,1,35,0,92,89,94,95,84,95,89,50,85,85,55,29,75,85,80,80,89,60,98,95,85,80,88,79,69,82,60,90,90,95,90,90,84,94,52,84,90,41,45,98,94,50,95,95,75,33,27,86,86,74,85,75,83,30,37,4,4,5,48,91,21,62,62,25,48,35,60,4,7,5,5,11,24,61,65,25,59,48,48,36,58,58,58,55,48,48,24,0,0,34,15,44,55,56,57,57,38,15,1,11,17,33,3,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,52,35,25,87,21,91,21,21,25,35,Gold,None,Gold,None,None,None,None,None,None,None,None,None,Gold,None,Gold,None,Gold,Gold,Gold,Gold,Gold,Gold,None,Gold,None,None,None,None,None,None,None,Gold,None,Gold,Gold,Gold,Gold,Silver,None,None,None,None,None,Gold,None,Gold,Gold,Gold,Gold,None,Gold,Gold,Gold,Gold,Gold,None,None,None,Gold,None,Gold,Gold,None,None,None,Gold,Gold,Gold,Gold,None,None,None,Gold,Gold,None,None,None,None,None,None,None,None,Yes
634,Antawn Jamison,Rewards,Washington Wizards,94,NBA 2K20  Diamond,PF,SF,80,P&R Wing,Mid Range,Guard Post Up,3 PT,0,1,25,3,92,88,84,95,76,98,81,85,75,87,88,92,91,98,73,73,71,82,98,95,85,60,64,64,50,78,84,66,75,86,66,78,90,60,79,92,80,87,88,98,94,95,95,95,15,20,5,10,33,45,34,31,38,68,30,6,2,0,40,0,65,0,65,50,68,86,0,0,0,0,3,1,35,0,15,35,30,0,0,99,0,4,0,54,0,0,0,0,0,0,0,0,99,70,43,47,99,99,0,0,0,0,99,16,0,0,0,0,14,45,55,0,0,0,0,0,0,0,0,0,28,20,0,25,65,35,65,65,50,86,None,None,Gold,Gold,HOF,Gold,Gold,None,None,Gold,Gold,Gold,HOF,Gold,Gold,None,None,None,Gold,Gold,Silver,Gold,Gold,Gold,None,Gold,Gold,Gold,None,HOF,Gold,Gold,None,None,None,None,None,None,None,None,None,None,Gold,None,None,None,None,None,None,Gold,None,None,None,None,None,None,Gold,Gold,None,None,None,None,None,None,None,None,None,None,None,None,Gold,None,None,None,Gold,Yes,None,None,None,None,None,None,None
635,Scottie Pippen,Rewards,Chicago Bulls,97,NBA 2K20  Pink Diamond,SF,PF,80,P&R Ball Handler,Cutter,Isolation,Mid Range,13,1,12,4,90,88,84,96,80,90,90,70,95,84,72,70,80,90,83,84,86,70,95,95,87,80,86,80,85,82,84,97,97,99,97,95,92,96,65,97,95,78,84,45,97,60,100,100,70,52,24,81,83,81,89,83,83,35,50,4,3,6,55,42,57,35,57,31,64,25,58,4,58,6,3,9,9,63,66,32,60,71,59,20,58,58,58,50,74,28,46,10,20,34,35,47,49,55,68,75,59,15,0,0,0,0,3,55,50,60,60,40,50,50,15,50,50,43,25,25,65,70,30,28,71,41,73,81,40,82,57,57,31,25,Gold,None,Bronze,Bronze,None,None,None,Bronze,None,None,Gold,None,None,None,Gold,None,None,None,Silver,Bronze,None,None,None,Bronze,None,None,None,None,None,None,None,Gold,None,Bronze,Bronze,Bronze,None,Bronze,None,None,Bronze,None,None,Bronze,Bronze,None,Bronze,None,None,None,None,None,None,None,None,None,None,Gold,HOF,HOF,Gold,Gold,Gold,None,None,Gold,HOF,HOF,Gold,None,None,None,Gold,Gold,None,Yes,None,None,None,None,None,None,None
636,Elvin Hayes,Rewards,Houston Rockets,96,NBA 2K20  Pink Diamond,PF,,81,Post Up Low,P&R Roll Man,,,0,0,12,0,96,72,70,98,69,98,72,90,85,85,95,93,96,95,75,63,80,90,97,95,99,50,52,58,52,60,95,60,96,76,60,78,88,80,94,88,95,97,98,90,96,95,100,100,99,75,20,25,8,57,0,7,77,0,15,0,0,0,30,40,60,50,60,52,0,35,0,0,5,0,0,0,30,5,5,55,47,66,50,55,35,0,0,51,25,25,20,5,0,10,0,10,65,40,73,66,20,0,0,0,0,0,0,99,75,40,20,10,19,50,50,50,50,18,15,15,75,15,15,15,50,55,0,50,62,40,60,60,52,35,None,Gold,None,None,None,None,Gold,None,None,None,Gold,None,None,Gold,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Gold,None,None,None,None,None,Gold,Gold,None,None,Gold,None,None,Gold,None,None,None,None,None,None,Gold,None,Gold,None,None,Gold,None,None,None,None,None,None,None,None
637,Bill Walton,Legacy Showcase,'90-'91 Portland Trail Blazers,96,NBA 2K20  Pink Diamond,C,PF,83,Post Up Low,P&R Roll Man,,,0,4,29,2,95,83,30,98,82,95,78,95,70,78,93,96,93,98,63,53,79,93,95,98,95,28,69,79,84,92,95,54,95,92,54,86,94,70,93,95,95,95,96,96,96,81,80,80,35,64,6,40,33,39,27,36,36,46,25,20,56,23,21,29,85,0,0,0,21,0,7,0,64,0,0,0,53,55,0,75,0,15,10,85,20,20,20,55,0,0,0,0,0,0,0,0,75,80,59,59,99,0,3,29,44,88,99,65,0,45,45,60,85,50,50,50,0,15,10,10,50,40,55,33,20,50,0,26,29,29,85,85,60,58,None,Gold,Gold,Gold,Gold,Silver,HOF,None,None,None,Gold,Gold,Gold,Gold,None,None,None,None,Gold,None,None,None,None,None,None,None,Gold,Gold,None,Gold,None,None,None,None,None,None,None,None,Gold,Silver,Gold,None,Gold,Silver,None,None,Gold,Gold,Gold,HOF,None,None,None,None,None,Gold,Gold,Silver,None,Gold,Gold,None,Gold,None,Gold,None,None,None,None,Gold,Gold,Gold,Gold,None,Gold,Yes,None,None,None,None,None,None,None
638,Arvydas Sabonis,Rewards,Portland Trail Blazers,99,NBA 2K20  Galaxy Opal,C,PF,87,Isolation,Guard Post Up,P&R Ball Handler,,0,1,24,22,98,96,93,98,92,98,82,95,85,94,96,96,97,98,66,66,85,94,95,95,80,51,54,82,94,94,94,28,94,92,54,80,90,69,92,92,95,97,96,98,99,80,85,45,15,20,45,50,55,65,60,40,76,68,10,6,2,0,20,66,45,60,60,0,50,60,90,0,45,0,0,0,40,55,0,75,0,60,10,30,60,60,60,47,0,0,0,0,0,0,0,0,75,80,79,65,99,15,3,32,48,95,99,10,30,40,30,20,8,0,5,40,0,40,35,50,10,20,0,18,20,20,5,58,68,66,62,45,58,60,None,HOF,Gold,Gold,HOF,HOF,HOF,None,None,None,Gold,HOF,Gold,HOF,None,None,None,None,HOF,Gold,HOF,Gold,HOF,Gold,HOF,HOF,Gold,Gold,Gold,HOF,Gold,None,Gold,None,HOF,Gold,Gold,None,Gold,HOF,HOF,None,Gold,HOF,None,None,Gold,HOF,HOF,Gold,None,None,None,None,None,Gold,Gold,Silver,None,HOF,Gold,None,HOF,None,Gold,None,None,None,None,HOF,None,HOF,Gold,None,Gold,Yes,None,None,None,Yes,None,None,None
639,Dwyane Wade,Rewards,Miami Heat,99,NBA 2K20  Galaxy Opal,SG,PG,76,P&R Ball Handler,Guard Post Up,Isolation,,0,0,11,47,99,99,98,99,99,99,99,90,99,99,99,90,99,99,99,99,99,90,99,99,85,99,99,99,99,99,95,99,99,97,99,99,85,99,99,95,99,95,95,99,99,40,100,100,95,55,96,55,70,85,95,65,96,30,35,4,4,5,65,88,63,15,10,42,65,76,40,4,50,5,5,11,70,20,40,20,25,35,35,30,95,95,95,54,70,45,80,45,50,25,75,30,99,80,80,99,0,0,3,31,46,92,3,36,20,15,15,5,29,0,5,10,10,13,10,10,15,5,0,5,73,55,40,92,70,84,78,63,42,76,HOF,None,HOF,HOF,HOF,None,None,HOF,HOF,HOF,HOF,None,HOF,None,HOF,HOF,HOF,HOF,HOF,HOF,HOF,HOF,None,HOF,HOF,HOF,HOF,HOF,Gold,None,HOF,Gold,Gold,HOF,Gold,HOF,HOF,HOF,None,Gold,HOF,Gold,None,HOF,Gold,HOF,HOF,HOF,HOF,Gold,HOF,HOF,HOF,Gold,HOF,None,None,HOF,HOF,HOF,Gold,HOF,None,HOF,None,HOF,HOF,HOF,Gold,None,None,None,HOF,HOF,None,Yes,None,Yes,None,None,Yes,None,None
640,George Gervin,Rewards,San Antonio Spurs,96,NBA 2K20  Pink Diamond,SG,,79,Mid Range,Isolation,,,0,0,16,4,94,90,79,98,86,98,99,60,95,88,78,77,88,95,93,88,95,70,98,95,95,83,80,75,64,80,70,83,82,90,86,88,93,78,65,85,80,82,82,98,96,60,86,86,61,74,27,86,99,99,99,99,99,35,68,4,3,6,78,33,27,5,27,45,35,15,3,4,89,6,3,9,26,63,81,23,55,81,81,4,88,4,3,45,81,81,41,0,0,50,25,73,54,74,99,90,50,6,5,4,10,5,3,75,40,40,0,5,40,50,50,50,50,10,20,20,75,45,40,30,42,16,5,45,63,33,27,27,45,15,HOF,None,HOF,Gold,Gold,Gold,None,Gold,Gold,HOF,Gold,None,Gold,Gold,Gold,Gold,HOF,Gold,Gold,None,None,None,None,Gold,Gold,Gold,None,Gold,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None
641,Anthony Davis,Rewards,New Orleans Pelicans,99,NBA 2K20  Galaxy Opal,PF,C,82,Post Up High,Post Up Low,P&R Roll Man,Cutter,0,0,23,32,99,99,95,99,99,99,99,99,99,99,99,99,99,99,90,90,99,99,99,99,80,84,86,90,90,90,99,90,99,95,90,99,97,99,99,96,99,99,99,99,99,75,100,100,65,80,15,55,30,25,5,15,70,81,65,3,4,2,35,55,45,20,30,25,45,5,50,0,5,0,0,15,35,95,95,0,35,10,15,0,50,45,50,75,0,5,0,0,0,0,0,0,99,75,85,99,75,0,35,35,55,75,10,35,15,50,15,0,80,36,35,41,24,35,25,55,40,35,0,0,25,5,10,59,64,52,95,65,78,50,HOF,HOF,HOF,HOF,HOF,HOF,HOF,Gold,Gold,None,HOF,HOF,Gold,HOF,HOF,HOF,None,None,HOF,HOF,HOF,HOF,HOF,HOF,Gold,Gold,Gold,Gold,Gold,HOF,None,Gold,None,Gold,Gold,Gold,Gold,None,Gold,Gold,None,Gold,HOF,Gold,None,None,Gold,None,None,HOF,None,None,None,None,None,None,Gold,HOF,None,HOF,HOF,Gold,HOF,None,HOF,Gold,None,Gold,HOF,HOF,HOF,HOF,HOF,Gold,HOF,Yes,None,None,None,None,None,None,None
642,Adrian Dantley,Rewards,Utah Jazz,96,NBA 2K20  Pink Diamond,SG,,77,P&R Ball Handler,Isolation,Cutter,,0,2,19,3,97,95,75,98,89,98,97,65,85,98,85,86,87,98,88,84,94,82,98,97,85,83,86,82,74,82,69,83,85,83,83,85,88,70,39,81,85,72,75,98,96,40,85,80,75,80,50,58,1,65,32,36,35,0,45,0,0,0,30,35,55,8,0,57,60,70,5,0,0,0,0,0,34,15,15,50,80,88,91,36,30,30,30,50,72,8,96,45,40,16,66,27,49,50,87,39,50,0,0,0,0,0,0,14,89,15,50,25,3,50,75,25,50,33,15,15,62,25,25,25,50,20,0,35,60,35,55,55,57,70,HOF,None,HOF,HOF,Gold,None,None,None,Gold,Gold,Gold,None,Gold,None,Gold,Gold,Gold,Gold,None,None,None,None,None,Gold,Gold,Gold,Gold,Gold,Gold,None,None,None,None,None,None,None,Gold,Silver,None,None,None,None,None,None,None,Silver,None,None,None,None,None,Gold,Gold,Gold,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
643,Larry Bird,Rewards,Boston Celtics,94,NBA 2K20  Diamond,SF,PF,81,Mid Range,Post Up Low,3 PT,P&R Ball Handler,1,0,7,4,93,93,93,90,92,90,85,40,45,85,85,60,88,80,79,78,80,75,97,98,95,78,80,80,80,82,70,85,84,84,82,85,80,60,47,80,85,84,85,98,98,0,85,45,30,46,8,45,62,61,70,69,62,35,35,4,3,6,99,75,55,20,65,55,55,55,15,0,35,0,0,10,75,84,76,15,85,25,50,41,77,55,35,50,50,20,40,0,1,50,10,50,53,60,80,90,55,10,0,5,25,55,15,55,45,70,35,15,75,0,0,75,75,28,20,20,70,25,45,33,73,99,50,74,13,81,29,29,26,30,Gold,None,None,None,None,None,None,None,None,None,None,None,None,Gold,Gold,None,None,None,HOF,None,HOF,None,None,Gold,None,None,None,None,None,Gold,None,None,None,HOF,HOF,None,None,None,None,None,Gold,None,None,None,Bronze,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Gold,None,None,None,None,None,None,None,None,Yes,None,None,Yes,None,None,None,None
644,Peja Stojakovic,Lights Out,'01-'02 Sacramento Kings,96,NBA 2K20  Pink Diamond,SF,PF,81,3 PT,Mid Range,P&R Ball Handler,,0,0,9,7,94,97,97,95,94,98,85,25,60,85,58,58,60,94,79,79,75,54,95,80,95,74,86,81,39,84,67,85,85,78,84,84,74,79,51,67,85,48,62,95,96,40,70,45,75,15,25,45,40,60,55,40,79,44,5,22,42,36,40,74,52,65,70,58,55,35,50,0,30,0,0,0,15,15,5,55,25,20,20,60,75,75,75,47,35,20,50,25,0,15,25,10,70,65,88,70,0,15,2,25,37,74,0,0,0,0,0,0,0,0,10,45,0,0,0,0,0,0,0,0,50,25,20,76,72,74,74,52,58,35,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,HOF,Gold,HOF,HOF,None,Gold,Gold,Gold,Gold,Gold,None,Gold,None,Gold,HOF,HOF,HOF,HOF,Gold,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
645,Dirk Nowitzki,Rewards,Dallas Mavericks,97,NBA 2K20  Pink Diamond,PF,C,84,Post Up High,P&R Roll Man,Mid Range,,0,0,18,11,94,96,95,98,90,98,84,65,50,75,97,84,99,95,73,73,75,85,95,90,80,59,57,60,51,74,88,64,84,85,60,85,92,40,84,95,80,88,90,40,97,95,95,65,10,25,20,10,30,35,50,60,67,49,35,6,3,2,75,86,62,55,40,40,99,20,40,6,30,2,4,4,45,55,0,75,0,0,30,70,40,40,40,50,0,0,0,0,0,0,0,0,75,60,88,95,10,15,2,25,38,76,3,77,50,35,35,15,66,15,0,70,70,58,30,80,5,5,5,18,51,15,0,54,58,52,60,62,40,20,None,Gold,Gold,Gold,Gold,None,None,None,None,None,None,Gold,None,Gold,None,None,None,None,HOF,HOF,HOF,HOF,HOF,Gold,HOF,HOF,Gold,Gold,None,Gold,Gold,Gold,HOF,None,Gold,HOF,HOF,None,None,Gold,None,None,HOF,None,None,None,None,None,None,Gold,None,None,None,None,None,Gold,Gold,None,None,None,None,None,None,None,Gold,None,None,None,None,None,None,None,None,None,None,Yes,None,None,None,None,Yes,None,None
646,Shawn Kemp,Free Agent,'95-'96 Seattle SuperSonics,96,NBA 2K20  Onyx,PF,C,82,Post Up Low,P&R Roll Man,Post Up High,Cutter,0,0,8,3,95,90,64,83,85,95,88,97,96,95,96,80,92,95,92,90,98,92,86,95,85,80,59,40,53,40,93,82,88,80,80,91,83,73,87,83,86,95,95,95,96,90,100,100,99,98,5,96,76,74,72,84,81,49,56,6,3,2,47,53,85,0,2,51,47,50,45,6,97,2,4,4,65,55,0,75,0,95,28,48,65,65,65,35,0,0,0,0,0,0,0,0,75,32,84,60,10,0,1,12,18,35,3,85,75,75,75,95,88,50,25,88,50,68,60,60,75,80,75,68,43,40,25,58,53,53,85,85,51,50,Gold,None,None,None,None,None,Gold,None,None,None,HOF,None,None,Gold,HOF,None,None,None,None,None,None,None,None,Gold,None,None,None,None,None,Gold,None,None,None,None,None,None,None,None,None,Gold,None,None,None,None,None,None,None,None,None,Gold,None,None,None,None,None,None,Gold,HOF,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
